message_id,raw_message,normalized_message,intent,product_raw,product_canonical,unit_raw,unit_canonical,location_raw,location_canonical,price,currency,quantity,product_span_start,product_span_end,location_span_start,location_span_end,language,noise_level,has_typos,has_abbreviations,market_area,state,product_category,price_period,is_bulk,season,data_source,confidence_label,reviewed_by_human,notes,source_name,source_url
msg_0001,hw mch ginga 4 yankura nw??,fresh ginger price in Yankura Market,QUERY,ginga,fresh ginger,kg,kg,yankura,Yankura Market,,,,7,12,15,22,pidgin,heavy,True,True,Yankura Market,Kano,spice,,False,dry,research_anchored_synthetic,medium,False,"Price anchor from Channels_NBS_Mar2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=QUERY; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",Channels_NBS_Mar2026,https://www.channelstv.com/2026/05/07/consumers-pay-more-as-prices-of-eggs-beans-local-rice-others-rise-in-march/amp/
msg_0002,gero na 35350 bag 4 akure tday,millet is 35350 naira per bag in Akure Market,SUBMIT_PRICE,gero,millet,bag,bag,akure,Akure Market,35350,NGN,,0,4,20,25,pidgin,heavy,True,True,Akure Market,Ondo,grain,2026-01,False,harvest,research_anchored_synthetic,medium,False,"Price anchor from BusinessDay_Jan2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=PRICE_REPORT; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",BusinessDay_Jan2026,https://businessday.ng/news/article/food-prices-ease-for-staples-as-cooking-oils-climb-in-january/
msg_0003,pls price gnut oil dawanau asap,groundnut oil price in Dawanau Market,QUERY,gnut oil,groundnut oil,litre,litre,dawanau,Dawanau Market,,,,10,18,19,26,pidgin,heavy,True,True,Dawanau Market,Kano,oil,,False,festive,research_anchored_synthetic,medium,False,"Price anchor from BusinessDay_Jan2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=AVAILABILITY; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",BusinessDay_Jan2026,https://businessday.ng/news/article/food-prices-ease-for-staples-as-cooking-oils-climb-in-january/
msg_0004,jst buy onins 950/kg @Jos,onion bulb is 950 naira per kg in Jos Market,SUBMIT_PRICE,onins,onion bulb,kg,kg,Jos,Jos Market,950,NGN,2,8,13,22,25,pidgin,heavy,True,True,Jos Market,Plateau,vegetable,2026-03,False,festive,research_anchored_synthetic,medium,False,"Price anchor from Channels_NBS_Mar2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=PRICE_REPORT; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",Channels_NBS_Mar2026,https://www.channelstv.com/2026/05/07/consumers-pay-more-as-prices-of-eggs-beans-local-rice-others-rise-in-march/amp/
msg_0005,jst buy pepa 72700/medium bag @Jos,rodo pepper is 72700 naira per medium bag in Jos Market,SUBMIT_PRICE,pepa,rodo pepper,medium bag,medium bag,Jos,Jos Market,72700,NGN,,8,12,31,34,english,heavy,True,True,Jos Market,Plateau,vegetable,2026-04,False,rainy,research_anchored_synthetic,medium,False,"Price anchor from Nairametrics_Lagos_Apr2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=PRICE_REPORT; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",Nairametrics_Lagos_Apr2026,https://nairametrics.com/2026/04/26/lagos-food-prices-ease-in-april-2026-as-supply-improves-reversing-march-spike/
msg_0006,jst buy gero 36900/bag @Utako,millet is 36900 naira per bag in Utako Market,SUBMIT_PRICE,gero,millet,bag,bag,Utako,Utako Market,36900,NGN,,8,12,24,29,igbo_mixed,heavy,True,True,Utako Market,Abuja,grain,2026-01,False,dry,research_anchored_synthetic,medium,False,"Price anchor from BusinessDay_Jan2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=PRICE_REPORT; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",BusinessDay_Jan2026,https://businessday.ng/news/article/food-prices-ease-for-staples-as-cooking-oils-climb-in-january/
msg_0007,pmoil na 63200 25 litres 4 Ilorin tday,palm oil is 63200 naira per 25 litres in Ilorin Market,SUBMIT_PRICE,pmoil,palm oil,25 litres,25 litres,Ilorin,Ilorin Market,63200,NGN,,0,5,27,33,english,heavy,True,True,Ilorin Market,Kwara,oil,2026-01,True,harvest,research_anchored_synthetic,medium,False,"Price anchor from BusinessDay_Jan2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=PRICE_REPORT; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",BusinessDay_Jan2026,https://businessday.ng/news/article/food-prices-ease-for-staples-as-cooking-oils-climb-in-january/
msg_0008,mkt gist kote=9000 kg ariaria,kote fish is 9000 naira per kg in Ariaria Market,SUBMIT_PRICE,kote,kote fish,kg,kg,ariaria,Ariaria Market,9000,NGN,,9,13,22,29,pidgin,heavy,True,True,Ariaria Market,Abia,protein,2026-04,False,dry,research_anchored_synthetic,medium,False,"Price anchor from Nairametrics_Lagos_Apr2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=PRICE_REPORT; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",Nairametrics_Lagos_Apr2026,https://nairametrics.com/2026/04/26/lagos-food-prices-ease-in-april-2026-as-supply-improves-reversing-march-spike/
msg_0009,titus na 4800 kg 4 Ngbo tday,titus fish is 4800 naira per kg in Ngbo Market,SUBMIT_PRICE,titus,titus fish,kg,kg,Ngbo,Ngbo Market,4800,NGN,,0,5,19,23,hausa_mixed,heavy,True,True,Ngbo Market,Ebonyi,protein,2026-04,False,harvest,research_anchored_synthetic,medium,False,"Price anchor from Nairametrics_Lagos_Apr2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=PRICE_REPORT; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",Nairametrics_Lagos_Apr2026,https://nairametrics.com/2026/04/26/lagos-food-prices-ease-in-april-2026-as-supply-improves-reversing-march-spike/
msg_0010,hw much ginga dey abakaliki rn,fresh ginger price in Abakaliki Market,QUERY,ginga,fresh ginger,kg,kg,abakaliki,Abakaliki Market,,,,8,13,18,27,english,heavy,True,True,Abakaliki Market,Ebonyi,spice,,False,harvest,research_anchored_synthetic,medium,False,"Price anchor from Channels_NBS_Mar2026; row text generated for WhatsApp NLU training. Use as training data, not live quote. Original intent=QUERY; v3 span recalculated against product_raw/location_raw. Heavy-noise augmentation added in v3.",Channels_NBS_Mar2026,https://www.channelstv.com/2026/05/07/consumers-pay-more-as-prices-of-eggs-beans-local-rice-others-rise-in-march/amp/
